column,127,227,31,296,36,195,46,48,44,109
127,nan,0.0122162962,-0.3112128563,-0.0060726318,0.07201281,-0.1071968147,-0.3997101722,-0.314246361,0.09038737,-0.2696463628
227,-0.3544874054,nan,-0.4078364333,-0.0072324147,-0.1969304519,-0.2766269786,-0.4018151677,-0.3430890645,-0.1440427163,-0.2770212297
31,-0.0534063554,0.0039894688,nan,-0.0051051561,-0.2080921766,-0.1132801302,-0.0372409842,-0.0349931095,-0.0372421422,-0.0095691792
296,-0.3744595425,-0.5945387432,-0.4426289898,nan,-0.2168771233,-0.0783023936,-0.4190206795,-0.3354712149,-0.1676896206,-0.30137461
36,-0.0512208765,0.0085930524,-0.3475775063,-0.0076563983,nan,-0.1159499804,0.0359832542,-0.0362066969,-0.0396636343,-0.0090862077
195,-0.3606041904,0.0088699443,-0.426576803,-0.0068239644,-0.1783813631,nan,-0.4334522215,-0.3231343866,-0.1291952875,-0.3035018762
46,-0.0484769992,0.000420478,-0.421070123,-0.0086210949,-0.2147337831,-0.1164320683,nan,-0.0334169964,-0.164491289,-0.010261184
48,-0.0524886733,0.0029531239,-0.4309343779,-0.0081957979,-0.2299693467,-0.1033963211,-0.4837562574,nan,-0.1768281591,-0.0092063468
44,-0.0519397038,0.0055330288,-0.3737864826,-0.0081718874,0.2862547535,-0.1210983791,0.0174771809,-0.0355195568,nan,-0.0094548044
109,-0.0526588336,0.0007483042,-0.3374781059,-0.0030696502,-0.2440580973,-0.0878970369,-0.4839054416,-0.3377075083,-0.1903960809,nan
