column,127,227,31,296,36,195,46,48,44,109
127,nan,1.4063500344,-0.8992922845,0.2807733137,-0.1909545185,-0.4197876774,-1.2372881791,-0.7567335876,-0.0012211347,-0.5541845815
227,-0.7473831184,nan,-0.9788183643,0.2854657487,-0.3718171268,-0.5860089377,-1.2711405307,-0.8012357452,-0.1929582841,-0.578585996
31,-0.8282889997,1.4023579381,nan,0.2998865149,-0.5447547628,-0.4710673843,-0.0224193386,-0.8807782128,-0.6614292461,-0.2929930593
296,-0.7947604727,-1.3121370309,-1.047777577,nan,-0.416948977,-0.462303341,-1.3091447205,-0.8402603347,-0.2413757267,-0.6285965822
36,-0.7490081506,1.4548460175,-0.9571127781,0.179151756,nan,-0.4583250899,0.4273648525,-0.9702524795,-0.8447540841,-0.1733349207
195,-0.7884800631,1.4032783859,-1.0207848488,0.3446322536,-0.3692946247,nan,-1.3177581507,-0.81918032,-0.1965210686,-0.6368501419
46,-0.7907432892,1.4535384221,-0.9879647053,0.3022850429,-0.3776468859,-0.4776839292,nan,-0.8913924186,-0.1981346688,-0.4905468841
48,-0.8620391315,1.3423067873,-1.0538287031,0.1628315438,-0.4053452226,-0.4313729646,-1.4056164791,nan,-0.2520041219,-0.2365020832
44,-0.763643455,1.4433014893,-0.9682450406,0.1392587139,0.2418969749,-0.4952327523,0.3144434286,-0.977738692,nan,-0.207916593
109,-0.8618387785,1.1991345746,-0.9659443625,0.4222773831,-0.4277508947,-0.366742748,-1.3990116682,-0.8420946536,-0.2823455359,nan
