column	~711	~161	~59	~2290	~33	~272	~307	~172	~115	~399	~234	~101	~1145	~199	~259	~717	~280	~506	~727	~419	~49	~173	~1112	~91	~336	~1042	~6	~1154	~23	~393	
711	0.0	0.629125031901	0.640688806322	0.640835278412	0.642845480533	0.643172424421	0.646253827742	0.649517213434	0.647618406527	0.649963698801	0.649132045564	0.647625756544	0.645729588269	0.649373248087	0.649367894212	0.646915903527	0.650174815184	0.648286408909	0.6515267037	0.653972624473	0.650943420461	0.649804718574	0.652210395582	0.651019400461	0.65280432179	0.653996730284	0.656846162027	0.654207694084	0.655679966756	0.654419718647	
161	0.190614579391	0.0	0.247575719232	0.240078709781	0.241264227541	0.239946174125	0.248882767474	0.248407150893	0.252346589838	0.248127971001	0.25047407041	0.234564383446	0.246127439554	0.252165286133	0.254246121854	0.247246670056	0.226966216251	0.246911353358	0.254005425283	0.245696504746	0.248669963393	0.250173212829	0.249566337528	0.253674523559	0.245595392809	0.252696495385	0.250115212624	0.252717894593	0.251665361743	0.252948048676	
59	0.107842367205	0.143936865663	0.0	0.144397478845	0.144094930526	0.144540085967	0.151414091438	0.149274620515	0.128083685614	0.143832240764	0.104569427046	0.150174394369	0.147146701702	0.137567845632	0.148476110408	0.146868726051	0.150839788248	0.14871251928	0.138757060389	0.153359758641	0.150335880804	0.149814983038	0.14960328865	0.146860696861	0.152276839182	0.150758895438	0.152100921195	0.153034274015	0.152937092528	0.134005451949	
2290	0.075945932437	0.104131084892	0.113446562295	0.0	0.0896975030371	0.0969003340727	0.121500875868	0.12101921016	0.115019251999	0.117758970636	0.1153247748	0.121055019972	0.100381958424	0.116017343286	0.123464259243	0.104503352222	0.121562790601	0.103074268685	0.117556444209	0.123182193881	0.108522252906	0.108539007529	0.109680680722	0.121394233844	0.121662462095	0.114715506666	0.117605501846	0.121556170667	0.121857096886	0.119263299626	
33	0.0784450934329	0.10292703037	0.11055352973	0.0870497986462	0.0	0.0962949305712	0.121166575291	0.119411698844	0.112103179946	0.114526309095	0.112439128827	0.118630384195	0.0978788328283	0.113235278679	0.120790217354	0.103266253951	0.119674371003	0.100047055133	0.11454556771	0.120917533081	0.103600282577	0.105657259285	0.103216800443	0.118833260419	0.119287516245	0.112608809869	0.114523880665	0.119704069801	0.120174631771	0.116254800999	
272	0.07410369376	0.0963080023819	0.106009800651	0.0891729644668	0.0912056984882	0.0	0.106575023735	0.112915007171	0.108271628208	0.111036624465	0.108340713672	0.113324679573	0.0984350829607	0.109348261997	0.115669990231	0.101811615095	0.113858454249	0.0989046610723	0.110725566776	0.11558726365	0.104355532721	0.105192792293	0.104653788516	0.113915986768	0.114621715975	0.108576500384	0.111348570097	0.114284771925	0.114253064038	0.111996579169	
307	0.0555242168701	0.0810773670469	0.0875185487674	0.088332024279	0.0906300936188	0.0807085422434	0.0	0.0893061842533	0.0903443819166	0.087512387453	0.090715666797	0.087751236063	0.0902688012545	0.0907136783093	0.0901055212025	0.0905859966766	0.0876569570209	0.089687083366	0.0912184065435	0.0902665646503	0.0914109562649	0.0908841295991	0.0914848192474	0.0899436381173	0.0897051703489	0.0904706401451	0.092170099412	0.090666680198	0.090622537431	0.0910847139254	
172	0.0612365848608	0.0775470006609	0.0822846329932	0.0849072051644	0.0858924227707	0.0843051894087	0.0863859433294	0.0	0.0855111877003	0.0852150779813	0.0853645887356	0.0845825880019	0.0859141573605	0.0861783880823	0.0763869791708	0.0859285313652	0.0852100639517	0.0865448461559	0.0868875161436	0.0871267467956	0.0866944961788	0.0868014390778	0.0870943074744	0.0867123599588	0.0856152689652	0.0877339746941	0.0880047199194	0.0867975653754	0.0684388294705	0.0868239468346	
115	0.0655208608539	0.091491784291	0.0687627253172	0.0878074774292	0.0874559648438	0.0886503354486	0.0964871695439	0.0945899113336	0.0	0.0881615694837	0.0785799962234	0.0952837008543	0.0892437117247	0.0675333060376	0.093402895089	0.0900277298723	0.0958548280681	0.0913993673699	0.0668253795364	0.09708101856	0.0926722753837	0.0922723983433	0.0924162954447	0.0921003819714	0.0962974288408	0.0940438631616	0.0952137384091	0.0959819559707	0.0965770449933	0.0873304537946	
399	0.0567238141481	0.0715856220185	0.0707901487352	0.0759205242138	0.0752243613692	0.0767789231523	0.0790126098177	0.0796451212165	0.073410700342	0.0	0.0738220048458	0.0796172294249	0.0785213282194	0.0758112605377	0.0816669678565	0.0797902174882	0.0803318631195	0.079117977675	0.0764052053672	0.0819883977717	0.0792036478068	0.0789876159243	0.0794705725371	0.0809584845996	0.0807914787351	0.0812685069233	0.0789522994414	0.08192882351	0.0815488814394	0.0778137225207	
234	0.0579876755661	0.0779134520374	0.0317802215499	0.0768058704841	0.0764807296899	0.0774118449947	0.0856478076568	0.0832067051616	0.0671450496782	0.0772553113689	0.0	0.0839282793265	0.0799887690449	0.0735619875489	0.0838460108062	0.0804402182745	0.0843840427245	0.0812014743942	0.0731038739426	0.0858754257434	0.0821835463361	0.0816743393534	0.0813514872827	0.0819613832838	0.0849043141452	0.0829926316622	0.0826973427664	0.0849200932647	0.0848124583501	0.0649932423318	
101	0.0463273044049	0.0507600594175	0.0736946844121	0.0754015281243	0.0755398371149	0.0751828593758	0.0752818153858	0.0750358557665	0.0766821939201	0.0756469297665	0.0765533950888	0.0	0.0765135301223	0.0771498010561	0.0753786479981	0.0761365840362	0.0672402059338	0.0769560557342	0.0779249070285	0.0728043665731	0.0770894611778	0.0770886901004	0.0771585613697	0.0762382089048	0.0685472568356	0.0781518198953	0.0769139222429	0.0771463438768	0.0770842676843	0.0776966405099	
1145	0.0449848979271	0.0687947021601	0.0740685355389	0.0573948616612	0.0575134423108	0.0633692355955	0.0814784108688	0.0800316703722	0.074191550661	0.0782039120504	0.0762475432116	0.0801633661015	0.0	0.0744412249483	0.0801976852907	0.0558266804355	0.0803656312828	0.0574621598306	0.0763870519344	0.0818937170377	0.0621719863849	0.0650536061628	0.0647696713403	0.0795027464585	0.0804882399409	0.0766801927143	0.0791042281767	0.0805232565515	0.081356310131	0.0787249259965	
199	0.0460845287653	0.0677280669036	0.0550280100767	0.0652297598464	0.0650073749374	0.0661678508726	0.0734551970368	0.0718101697084	0.0433748889308	0.0669611391687	0.0612102691762	0.0723143003382	0.0658997478333	0.0	0.0706643723859	0.0664075400091	0.0724560883999	0.067897942645	0.0522818865047	0.0736385806079	0.0692030055873	0.0690670115527	0.0695938455854	0.0699342743184	0.0727467319012	0.0711354483617	0.0722193243223	0.0729093460054	0.0733468640016	0.0667418367113	
259	0.0440494976686	0.0683529973759	0.0650040836046	0.0711413195822	0.0710097160995	0.0708322096677	0.0708717221828	0.0598777971497	0.0679447481085	0.0709092258041	0.0696650788965	0.0685652171619	0.0697431713674	0.0686959990761	0.0	0.0694268985003	0.0696767087989	0.071079392466	0.0699581433706	0.0702198384286	0.0710859931925	0.0708581605054	0.0712232874181	0.0683506154267	0.0700889330581	0.0715027175368	0.073444882787	0.0702580509302	0.0691204305489	0.0710585995464	
717	0.0380729326583	0.0603008827552	0.0639285426708	0.0517469630403	0.0531908711282	0.0569657176508	0.0720457858069	0.0702746365105	0.0651633054202	0.0696956528651	0.0668937949303	0.0700136666086	0.0457979275709	0.065118683926	0.0701117545224	0.0	0.0703494745154	0.0533265364808	0.0670639675105	0.0717910268254	0.0579693019074	0.0598957130466	0.0593168148133	0.0696400565921	0.0703310144484	0.0669705138963	0.0703176829855	0.0710648565129	0.0717480153753	0.0693583651279	
280	0.0383585510579	0.0262830706008	0.0598851989463	0.0614247136502	0.0621348852526	0.0612255568336	0.0606635197839	0.0611547422917	0.0627749804787	0.0618604232137	0.0625187832946	0.0525926981262	0.0622179017185	0.0628011716166	0.0619796290913	0.0619676152834	0.0	0.0625519567093	0.0636511221415	0.0589579489594	0.0629914584805	0.0631623786869	0.063268532014	0.0622667045312	0.0587799097928	0.0638181201429	0.0636454793605	0.063392592104	0.0632089981478	0.0633693657464	
506	0.0393153726963	0.0574379813764	0.0635230579872	0.047764292514	0.047321361859	0.0514537939537	0.068713477662	0.0684858469692	0.0641455074181	0.0665954774535	0.0652421947931	0.0684227467245	0.0449741476129	0.0641843301523	0.0693496132984	0.0508651824982	0.068513005938	0.0	0.0656557797937	0.0698871763902	0.0536972577227	0.0562903200973	0.0564479707676	0.0680205798903	0.0689192977091	0.0649403315114	0.0671119866708	0.0687662217396	0.0693180695233	0.0672457984102	
727	0.0405221104344	0.0588187178128	0.044962787434	0.0556158429801	0.0551418395557	0.0563795769881	0.0628137410909	0.0613573473664	0.0311155389213	0.0563278024791	0.0494309825292	0.0619271501164	0.0566342099129	0.0408648546502	0.0607434412641	0.0571266820081	0.062133420611	0.0581523017803	0.0	0.0628040339111	0.0591792434654	0.0588359071477	0.0588292652885	0.0597338736706	0.0620467344495	0.0606325701446	0.0611386552281	0.0620910472489	0.0624133745841	0.0549852756645	
419	0.0344455789842	0.0355392397443	0.0485316278053	0.0490187643452	0.0493276769086	0.0489193547499	0.0492170680502	0.048985108527	0.0499232612617	0.0494199757285	0.0499230051144	0.0440339185175	0.0496492975355	0.0498724449624	0.0483815629919	0.0492899789798	0.0447584017788	0.0498104723813	0.0502020217737	0.0	0.0498388029028	0.0500341293425	0.0499353355367	0.0490141147756	0.0473052518921	0.0501526462509	0.0503339900031	0.0500092605043	0.0499494500315	0.0503096310135	
49	0.0297614372318	0.0430580367368	0.0488278329288	0.0368598238744	0.0343508809799	0.0405675382643	0.0540871588463	0.0522161262976	0.0489781631169	0.0502254913911	0.0497767281296	0.0521336267169	0.032990930474	0.0490168288663	0.0529465532098	0.0388663776609	0.0525328720083	0.0370114762241	0.050217581859	0.0535150862234	0.0	0.0413426945244	0.0400894011865	0.0523681968547	0.0524475702673	0.0500047183887	0.0509467692354	0.0526504070816	0.0530432601309	0.0514448174666	
173	0.0255485658386	0.0439447181923	0.0472202730839	0.0358412593565	0.0355297640297	0.0404326983935	0.0525199577444	0.0513070693176	0.0475349363203	0.0489801217812	0.0482261920909	0.0511125885823	0.0349245618868	0.0478541358277	0.0516946511305	0.0397994433058	0.0516860703729	0.0386165790918	0.0488482943553	0.0526911079437	0.0403108342431	0.0	0.0421704678423	0.0510429378791	0.0516958438448	0.0491452064996	0.0499009931075	0.0513488622265	0.0522881778953	0.0504368940688	
1112	0.0322177554678	0.0431463776936	0.0469585772952	0.0370513251053	0.0328731261709	0.0398300467261	0.0531216987818	0.0515869842235	0.0476614879237	0.049454422122	0.0478671485828	0.0511600787281	0.0346067046683	0.0483685553211	0.0520429837174	0.0391835151413	0.0517691920058	0.0387525161425	0.0488171741848	0.0525682788834	0.039031532978	0.0421458888256	0.0	0.0513780902455	0.0514104426267	0.0486249085015	0.0501592719575	0.0519171781087	0.0522501704003	0.0499965638975	
91	0.0260055552779	0.0455446710772	0.0410315990475	0.046884497004	0.0468785888825	0.0469270268634	0.0486848615327	0.0483586323091	0.0444869274886	0.0481587077833	0.0456596959034	0.0473793354546	0.0469792968998	0.0458778201212	0.0462732341764	0.0468917905949	0.047922218932	0.0477086764437	0.046895503654	0.0488194336045	0.0484927108086	0.0481865258382	0.0485471024162	0.0	0.0488036082868	0.0483137498948	0.0503263935663	0.0482484961195	0.0500432018527	0.0481257969849	
336	0.0271123265761	0.0313544959003	0.0433092151427	0.043365314964	0.0435605588902	0.0438779946835	0.0446304641429	0.0434054714034	0.0451008373947	0.0441788244771	0.0449150130718	0.0356070559803	0.0441927486173	0.044959213883	0.0442460956631	0.0437911820055	0.0405607593161	0.0448226282906	0.0454380423338	0.0432998027058	0.0447678376469	0.045037901533	0.0447750087246	0.0449999616238	0.0	0.0456433969338	0.045408966834	0.0458559877406	0.0450844906616	0.0456568937124	
1042	0.0313109170493	0.0413206645857	0.0424436059954	0.0366516703625	0.0371597220493	0.0382009609405	0.0462778973831	0.0464658743742	0.0435660626296	0.0455195840995	0.0437660738459	0.0463952341	0.041083045496	0.044145591215	0.0465429955031	0.0411833159476	0.0465403217846	0.0415888949886	0.044844165746	0.0470025870871	0.0431520133582	0.0433160377116	0.0428171124751	0.0453530228953	0.0464872716153	0.0	0.046687700356	0.0464344521207	0.0469291210893	0.0453692792075	
6	0.0323320028276	0.0310436666078	0.0370342677694	0.0328438487862	0.0322809173149	0.0342493271766	0.0411671101721	0.0398465533145	0.0378847034115	0.0361846114712	0.0365320120532	0.038200545609	0.0366754253989	0.0383478735578	0.0416480059924	0.0377052875467	0.0394593976799	0.0368912242177	0.0384463773528	0.0402853728502	0.0371793719093	0.037154793248	0.037441237452	0.0404741254698	0.0393471447137	0.0397849434941	0.0	0.0397262950118	0.0394061708969	0.0383036343783	
1154	0.0268052867966	0.0363015894828	0.0399819401148	0.0390634757196	0.0398301965635	0.0393292129204	0.0414639690839	0.0404623661074	0.0405880610679	0.0411846379684	0.0407527679595	0.0403296871455	0.0400473607256	0.0409488415063	0.0402389613927	0.0403655730229	0.041085464624	0.0404857135388	0.0413068396948	0.0418412076144	0.0407937833151	0.0405087068315	0.0411081230883	0.0402617770239	0.0416813189613	0.0414147004588	0.0416107484516	0.0	0.0416891544346	0.04164556221	
23	0.0296900326319	0.0336906234254	0.038624572947	0.0381448248874	0.0390968538213	0.038046858231	0.0401722316569	0.0199006168791	0.0399741511619	0.0395418099725	0.0393937217918	0.0390184314533	0.0396712296836	0.0401562155523	0.0378163475364	0.0398256530149	0.039651616456	0.0398086424594	0.0403913880115	0.0405361488483	0.0399460535611	0.040213603494	0.0401997413421	0.0408271867413	0.0396605764085	0.0406674097066	0.0400458824781	0.0404443012379	0.0	0.0401616749854	
393	0.0305111855306	0.0396781771662	0.021551079567	0.0396352040321	0.0391494331122	0.0399263609196	0.0449674391239	0.0435574252094	0.0345028137537	0.0399657655843	0.0229974015888	0.0439679599816	0.0412446229154	0.0376549819953	0.0441308578148	0.0416760584791	0.0441271968788	0.0419914777926	0.0371315501476	0.0452062120797	0.0426433755057	0.0426565459052	0.0422371851456	0.0432065127013	0.0445455240425	0.0434117265987	0.0432591752295	0.0447092074784	0.0444713030743	0.0	
