column,711,161,59,2290,33,272,307,172,115,399,234,101,1145,199,259,717,280,506,727,419,49,173,1112,91,336,1042,6,1154,23,393
711,1,0.119099477,0.1230647328,0.1520371656,0.1387536607,0.1418152483,0.1477375886,0.1158260432,0.1245253197,0.1181826982,0.1231465703,0.1535692795,0.1696982968,0.140048919,0.1439100362,0.1760764943,0.1484984974,0.1627053181,0.1306982474,0.1149264845,0.1628687836,0.1873145968,0.1422970508,0.1738339226,0.1497540475,0.1220273784,0.072647834,0.1314494945,0.0997605697,0.1179782786
161,0.1014616759,1,0.0642858772,0.1401355064,0.1333530839,0.1502168772,0.0946238293,0.1030854477,0.0532827712,0.1133114826,0.0817843559,0.2900564224,0.1378704511,0.072445631,0.0457002624,0.1409284785,0.4719806788,0.150466011,0.056136944,0.2339432385,0.1634626195,0.1384096615,0.1498507049,0.0769016042,0.2560945869,0.1022427221,0.1830647862,0.1137889,0.142700007,0.1011054295
59,0.0719200898,0.0441001438,1,0.087364936,0.091661103,0.0917290006,0.0423282919,0.0678157015,0.2781639864,0.1377251243,0.5855489062,0.064595025,0.0982756169,0.2381050964,0.094067955,0.1151569686,0.0687382202,0.0930230888,0.2612582894,0.0381703745,0.0911990071,0.1027001533,0.1067158806,0.1669798341,0.0646125581,0.0953847352,0.078558019,0.0531436408,0.0570970211,0.4668254845
2290,0.0739506119,0.0800106903,0.0727130836,1,0.2867686415,0.2374274675,0.0353104419,0.0418942985,0.0993533735,0.0838579339,0.1086671494,0.0464645143,0.2937527499,0.117138714,0.0175785663,0.276534393,0.0489952426,0.3061461494,0.1134577927,0.0306934409,0.298205166,0.3035791697,0.282312761,0.0662079591,0.0658472878,0.2107518547,0.1754227555,0.0748010293,0.0697674179,0.120057037
33,0.0663044408,0.0748012841,0.0749491373,0.2817330641,1,0.2208782934,0.0111918203,0.0313257078,0.1031385573,0.0921105878,0.1125903143,0.0449363386,0.2932382679,0.1203123085,0.0193478431,0.2586498899,0.0388535307,0.3129494091,0.120804983,0.0251493444,0.3419013702,0.3098751302,0.3557712216,0.0665086651,0.062190306,0.2015192931,0.1886005593,0.0584962271,0.0488643048,0.1302030663
272,0.0653920612,0.0813071334,0.0723755956,0.2250821475,0.2131360772,1,0.1164154918,0.0488219343,0.091773069,0.0746447228,0.1028364497,0.0495066365,0.2269098911,0.1061236947,0.0217872848,0.2109726361,0.0523147647,0.2592361511,0.1030585385,0.0327791252,0.2371078819,0.2259402709,0.2361486891,0.0659916789,0.0562482336,0.1823623085,0.1451183634,0.0696823401,0.0725484887,0.1151793024
307,0.0548161927,0.0412122384,0.0268739804,0.0269357459,0.0086900129,0.0936756126,1,0.0268729823,0.0137752079,0.0502163578,0.0112696397,0.0497085464,0.0171638885,0.0131396285,0.0218842918,0.0151139668,0.0622512242,0.0283315222,0.0074806993,0.0281103636,0.0051672623,0.0151385408,0.0038834005,0.034611522,0.0425292428,0.0256801413,-0.0117590832,0.0240986504,0.0258931666,0.0133149878
172,0.0417441157,0.0436108176,0.0418217976,0.0310421619,0.0236260854,0.0381594345,0.0261027972,1,0.0334081339,0.0428239145,0.0394180931,0.0529384783,0.0345557691,0.0349348619,0.1709489903,0.038959428,0.0550665166,0.0315767425,0.0298859594,0.0325915631,0.0383390069,0.0370661805,0.0315922162,0.0409206111,0.0677308909,0.0219810115,0.0190506597,0.0465814457,0.4924951783,0.042876703
115,0.048961456,0.0245918548,0.1871461736,0.0803132626,0.0848632272,0.0782545892,0.0145974487,0.0364468359,1,0.1161112613,0.2221602876,0.0320642385,0.1035023112,0.4068704265,0.061010348,0.1065662349,0.0304053376,0.0908120226,0.4897193843,0.0146848145,0.0947663023,0.1040675661,0.1014171062,0.1133434961,0.032713023,0.0795182984,0.0642342573,0.0433351618,0.0302315658,0.2301298637
